  CHAP.                              PAGE
     I. THE CHAIR                       7
    II. THE HEAD                       26
   III. THE CUPBOARD                   39
    IV. THE EMPTY LEASH                52
     V. THE DRESSING-ROOM              63
    VI. THE RETICULE                   77
   VII. THE COOMBE                     95
  VIII. THE TRUNK                     110
    IX. THE COUGH                     124
     X. THE SYDERSTONE HAUNTINGS      132
    XI. THE GREEN VAPOUR              161
   XII. THE STEPPING-STONES           188
  XIII. THE PINES                     213



